"id","panel_id","palette","light_player","output_path","title","xgid","moves","hits","curved_steps","viewpoint"
"M03","M03-LIGHT-L","Light bottom — setup left","near_player","M03-light-bottom-left.svg","Hit an opposing blot","XGID=------A---a--A------------:0:0:1:31:0:0:0:0:10",2,1,"","player_1 near; horizontally mirrored; setup left"
"M03","M03-DARK-L","Dark bottom — setup left","player_0","M03-dark-bottom-left.svg","Hit an opposing blot","XGID=------A---a--A------------:0:0:1:31:0:0:0:0:10",2,1,"","player_1 near; horizontally mirrored; setup left"
"M04","M04-LIGHT-R","Light bottom — setup right","near_player","M04-light-bottom.svg","Enter from the bar onto an empty point","XGID=-b-----------B-----------A:0:0:1:12:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M04","M04-DARK-R","Dark bottom — setup right","player_0","M04-dark-bottom.svg","Enter from the bar onto an empty point","XGID=-b-----------B-----------A:0:0:1:12:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M04","M04-LIGHT-L","Light bottom — setup left","near_player","M04-light-bottom-left.svg","Enter from the bar onto an empty point","XGID=-b-----------B-----------A:0:0:1:12:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M04","M04-DARK-L","Dark bottom — setup left","player_0","M04-dark-bottom-left.svg","Enter from the bar onto an empty point","XGID=-b-----------B-----------A:0:0:1:12:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M05","M05-LIGHT-R","Light bottom — setup right","near_player","M05-light-bottom.svg","Enter from the bar and hit","XGID=-------------B----------aA:0:0:1:12:0:0:0:0:10",2,1,"","player_1 near; unmirrored; setup right"
"M05","M05-DARK-R","Dark bottom — setup right","player_0","M05-dark-bottom.svg","Enter from the bar and hit","XGID=-------------B----------aA:0:0:1:12:0:0:0:0:10",2,1,"","player_1 near; unmirrored; setup right"
"M05","M05-LIGHT-L","Light bottom — setup left","near_player","M05-light-bottom-left.svg","Enter from the bar and hit","XGID=-------------B----------aA:0:0:1:12:0:0:0:0:10",2,1,"","player_1 near; horizontally mirrored; setup left"
"M05","M05-DARK-L","Dark bottom — setup left","player_0","M05-dark-bottom-left.svg","Enter from the bar and hit","XGID=-------------B----------aA:0:0:1:12:0:0:0:0:10",2,1,"","player_1 near; horizontally mirrored; setup left"
"M06","M06-LIGHT-R","Light bottom — setup right","near_player","M06-light-bottom.svg","Bear four checkers off a tall stack","XGID=--EEE--------------o------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M06","M06-DARK-R","Dark bottom — setup right","player_0","M06-dark-bottom.svg","Bear four checkers off a tall stack","XGID=--EEE--------------o------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M06","M06-LIGHT-L","Light bottom — setup left","near_player","M06-light-bottom-left.svg","Bear four checkers off a tall stack","XGID=--EEE--------------o------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M06","M06-DARK-L","Dark bottom — setup left","player_0","M06-dark-bottom-left.svg","Bear four checkers off a tall stack","XGID=--EEE--------------o------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M07","M07-LIGHT-R","Light bottom — setup right","near_player","M07-light-bottom.svg","Move four checkers onto a tall stack","XGID=----------C--E----------b-:0:0:1:33:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M07","M07-DARK-R","Dark bottom — setup right","player_0","M07-dark-bottom.svg","Move four checkers onto a tall stack","XGID=----------C--E----------b-:0:0:1:33:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M07","M07-LIGHT-L","Light bottom — setup left","near_player","M07-light-bottom-left.svg","Move four checkers onto a tall stack","XGID=----------C--E----------b-:0:0:1:33:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M07","M07-DARK-L","Dark bottom — setup left","player_0","M07-dark-bottom-left.svg","Move four checkers onto a tall stack","XGID=----------C--E----------b-:0:0:1:33:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M08","M08-LIGHT-R","Light bottom — setup right","near_player","M08-light-bottom.svg","Two sources land on one friendly stack","XGID=----------BA-A----------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M08","M08-DARK-R","Dark bottom — setup right","player_0","M08-dark-bottom.svg","Two sources land on one friendly stack","XGID=----------BA-A----------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M08","M08-LIGHT-L","Light bottom — setup left","near_player","M08-light-bottom-left.svg","Two sources land on one friendly stack","XGID=----------BA-A----------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M08","M08-DARK-L","Dark bottom — setup left","player_0","M08-dark-bottom-left.svg","Two sources land on one friendly stack","XGID=----------BA-A----------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M09","M09-LIGHT-R","Light bottom — setup right","near_player","M09-light-bottom.svg","One checker moves twice","XGID=-------------A----------a-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M09","M09-DARK-R","Dark bottom — setup right","player_0","M09-dark-bottom.svg","One checker moves twice","XGID=-------------A----------a-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M09","M09-LIGHT-L","Light bottom — setup left","near_player","M09-light-bottom-left.svg","One checker moves twice","XGID=-------------A----------a-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M09","M09-DARK-L","Dark bottom — setup left","player_0","M09-dark-bottom-left.svg","One checker moves twice","XGID=-------------A----------a-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M10","M10-LIGHT-R","Light bottom — setup right","near_player","M10-light-bottom.svg","Long diagonal followed by a short move","XGID=--------B----A----------b-:0:0:1:51:0:0:0:0:10",2,0,"1,2","player_1 near; unmirrored; setup right"
"M10","M10-DARK-R","Dark bottom — setup right","player_0","M10-dark-bottom.svg","Long diagonal followed by a short move","XGID=--------B----A----------b-:0:0:1:51:0:0:0:0:10",2,0,"1,2","player_1 near; unmirrored; setup right"
"M10","M10-LIGHT-L","Light bottom — setup left","near_player","M10-light-bottom-left.svg","Long diagonal followed by a short move","XGID=--------B----A----------b-:0:0:1:51:0:0:0:0:10",2,0,"1,2","player_1 near; horizontally mirrored; setup left"
"M10","M10-DARK-L","Dark bottom — setup left","player_0","M10-dark-bottom-left.svg","Long diagonal followed by a short move","XGID=--------B----A----------b-:0:0:1:51:0:0:0:0:10",2,0,"1,2","player_1 near; horizontally mirrored; setup left"
"M11","M11-LIGHT-R","Light bottom — setup right","near_player","M11-light-bottom.svg","Two checkers bear off","XGID=-AA----------------b------:0:0:1:21:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M11","M11-DARK-R","Dark bottom — setup right","player_0","M11-dark-bottom.svg","Two checkers bear off","XGID=-AA----------------b------:0:0:1:21:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M11","M11-LIGHT-L","Light bottom — setup left","near_player","M11-light-bottom-left.svg","Two checkers bear off","XGID=-AA----------------b------:0:0:1:21:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M11","M11-DARK-L","Dark bottom — setup left","player_0","M11-dark-bottom-left.svg","Two checkers bear off","XGID=-AA----------------b------:0:0:1:21:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M12","M12-LIGHT-R","Light bottom — setup right","near_player","M12-light-bottom.svg","Foey moves and hits in the source orientation","XGID=------------a--A---a------:0:0:-1:31:0:0:0:0:10",2,1,"","player_1 near; unmirrored; setup right"
"M12","M12-DARK-R","Dark bottom — setup right","player_0","M12-dark-bottom.svg","Foey moves and hits in the source orientation","XGID=------------a--A---a------:0:0:-1:31:0:0:0:0:10",2,1,"","player_1 near; unmirrored; setup right"
"M12","M12-LIGHT-L","Light bottom — setup left","near_player","M12-light-bottom-left.svg","Foey moves and hits in the source orientation","XGID=------------a--A---a------:0:0:-1:31:0:0:0:0:10",2,1,"","player_1 near; horizontally mirrored; setup left"
"M12","M12-DARK-L","Dark bottom — setup left","player_0","M12-dark-bottom-left.svg","Foey moves and hits in the source orientation","XGID=------------a--A---a------:0:0:-1:31:0:0:0:0:10",2,1,"","player_1 near; horizontally mirrored; setup left"
"M13","M13-LIGHT-R","Light bottom — setup right","near_player","M13-light-bottom.svg","Bear four different points off with double 4","XGID=-AAAA--------------d------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M13","M13-DARK-R","Dark bottom — setup right","player_0","M13-dark-bottom.svg","Bear four different points off with double 4","XGID=-AAAA--------------d------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M13","M13-LIGHT-L","Light bottom — setup left","near_player","M13-light-bottom-left.svg","Bear four different points off with double 4","XGID=-AAAA--------------d------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M13","M13-DARK-L","Dark bottom — setup left","player_0","M13-dark-bottom-left.svg","Bear four different points off with double 4","XGID=-AAAA--------------d------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M14","M14-LIGHT-R","Light bottom — setup right","near_player","M14-light-bottom.svg","Bear four from one stack into an empty off tray","XGID=--FED--------------o------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M14","M14-DARK-R","Dark bottom — setup right","player_0","M14-dark-bottom.svg","Bear four from one stack into an empty off tray","XGID=--FED--------------o------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M14","M14-LIGHT-L","Light bottom — setup left","near_player","M14-light-bottom-left.svg","Bear four from one stack into an empty off tray","XGID=--FED--------------o------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M14","M14-DARK-L","Dark bottom — setup left","player_0","M14-dark-bottom-left.svg","Bear four from one stack into an empty off tray","XGID=--FED--------------o------:0:0:1:44:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M15","M15-LIGHT-R","Light bottom — setup right","near_player","M15-light-bottom.svg","Bear four onto an occupied numbered off tray","XGID=-D-----------------d------:0:0:1:11:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M15","M15-DARK-R","Dark bottom — setup right","player_0","M15-dark-bottom.svg","Bear four onto an occupied numbered off tray","XGID=-D-----------------d------:0:0:1:11:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M15","M15-LIGHT-L","Light bottom — setup left","near_player","M15-light-bottom-left.svg","Bear four onto an occupied numbered off tray","XGID=-D-----------------d------:0:0:1:11:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M15","M15-DARK-L","Dark bottom — setup left","player_0","M15-dark-bottom-left.svg","Bear four onto an occupied numbered off tray","XGID=-D-----------------d------:0:0:1:11:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M16","M16-LIGHT-R","Light bottom — setup right","near_player","M16-light-bottom.svg","Move four checkers onto one stack with double 6","XGID=-------C-----D----------b-:0:0:1:66:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M16","M16-DARK-R","Dark bottom — setup right","player_0","M16-dark-bottom.svg","Move four checkers onto one stack with double 6","XGID=-------C-----D----------b-:0:0:1:66:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M16","M16-LIGHT-L","Light bottom — setup left","near_player","M16-light-bottom-left.svg","Move four checkers onto one stack with double 6","XGID=-------C-----D----------b-:0:0:1:66:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M16","M16-DARK-L","Dark bottom — setup left","player_0","M16-dark-bottom-left.svg","Move four checkers onto one stack with double 6","XGID=-------C-----D----------b-:0:0:1:66:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M17","M17-LIGHT-R","Light bottom — setup right","near_player","M17-light-bottom.svg","Chained double 2 uses newly landed ghosts","XGID=---------B-B-B----------b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M17","M17-DARK-R","Dark bottom — setup right","player_0","M17-dark-bottom.svg","Chained double 2 uses newly landed ghosts","XGID=---------B-B-B----------b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M17","M17-LIGHT-L","Light bottom — setup left","near_player","M17-light-bottom-left.svg","Chained double 2 uses newly landed ghosts","XGID=---------B-B-B----------b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M17","M17-DARK-L","Dark bottom — setup left","player_0","M17-dark-bottom-left.svg","Chained double 2 uses newly landed ghosts","XGID=---------B-B-B----------b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M18","M18-LIGHT-R","Light bottom — setup right","near_player","M18-light-bottom.svg","Same-side priority and an across-board double-4 chain","XGID=-----------------AA-A---b-:0:0:1:44:0:0:0:0:10",4,0,"2,3","player_1 near; unmirrored; setup right"
"M18","M18-DARK-R","Dark bottom — setup right","player_0","M18-dark-bottom.svg","Same-side priority and an across-board double-4 chain","XGID=-----------------AA-A---b-:0:0:1:44:0:0:0:0:10",4,0,"2,3","player_1 near; unmirrored; setup right"
"M18","M18-LIGHT-L","Light bottom — setup left","near_player","M18-light-bottom-left.svg","Same-side priority and an across-board double-4 chain","XGID=-----------------AA-A---b-:0:0:1:44:0:0:0:0:10",4,0,"2,3","player_1 near; horizontally mirrored; setup left"
"M18","M18-DARK-L","Dark bottom — setup left","player_0","M18-dark-bottom-left.svg","Same-side priority and an across-board double-4 chain","XGID=-----------------AA-A---b-:0:0:1:44:0:0:0:0:10",4,0,"2,3","player_1 near; horizontally mirrored; setup left"
"M19","M19-LIGHT-R","Light bottom — setup right","near_player","M19-light-bottom.svg","Foey moves four checkers with double 6","XGID=-B----------d-------------:0:0:-1:66:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M19","M19-DARK-R","Dark bottom — setup right","player_0","M19-dark-bottom.svg","Foey moves four checkers with double 6","XGID=-B----------d-------------:0:0:-1:66:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M19","M19-LIGHT-L","Light bottom — setup left","near_player","M19-light-bottom-left.svg","Foey moves four checkers with double 6","XGID=-B----------d-------------:0:0:-1:66:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M19","M19-DARK-L","Dark bottom — setup left","player_0","M19-dark-bottom-left.svg","Foey moves four checkers with double 6","XGID=-B----------d-------------:0:0:-1:66:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M20","M20-LIGHT-R","Light bottom — setup right","near_player","M20-light-bottom.svg","One checker advances four times with double 3","XGID=-------------A----------a-:0:0:1:33:0:0:0:0:10",4,0,"2,3,4","player_1 near; unmirrored; setup right"
"M20","M20-DARK-R","Dark bottom — setup right","player_0","M20-dark-bottom.svg","One checker advances four times with double 3","XGID=-------------A----------a-:0:0:1:33:0:0:0:0:10",4,0,"2,3,4","player_1 near; unmirrored; setup right"
"M20","M20-LIGHT-L","Light bottom — setup left","near_player","M20-light-bottom-left.svg","One checker advances four times with double 3","XGID=-------------A----------a-:0:0:1:33:0:0:0:0:10",4,0,"2,3,4","player_1 near; horizontally mirrored; setup left"
"M20","M20-DARK-L","Dark bottom — setup left","player_0","M20-dark-bottom-left.svg","One checker advances four times with double 3","XGID=-------------A----------a-:0:0:1:33:0:0:0:0:10",4,0,"2,3,4","player_1 near; horizontally mirrored; setup left"
"M21","M21-LIGHT-R","Light bottom — setup right","near_player","M21-light-bottom.svg","Opposite-side sources land on one tall stack","XGID=----------DA-A----------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M21","M21-DARK-R","Dark bottom — setup right","player_0","M21-dark-bottom.svg","Opposite-side sources land on one tall stack","XGID=----------DA-A----------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M21","M21-LIGHT-L","Light bottom — setup left","near_player","M21-light-bottom-left.svg","Opposite-side sources land on one tall stack","XGID=----------DA-A----------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M21","M21-DARK-L","Dark bottom — setup left","player_0","M21-dark-bottom-left.svg","Opposite-side sources land on one tall stack","XGID=----------DA-A----------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M22","M22-LIGHT-R","Light bottom — setup right","near_player","M22-light-bottom.svg","Four checkers cross to an empty point with double 6","XGID=-------------D----------b-:0:0:1:66:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M22","M22-DARK-R","Dark bottom — setup right","player_0","M22-dark-bottom.svg","Four checkers cross to an empty point with double 6","XGID=-------------D----------b-:0:0:1:66:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M22","M22-LIGHT-L","Light bottom — setup left","near_player","M22-light-bottom-left.svg","Four checkers cross to an empty point with double 6","XGID=-------------D----------b-:0:0:1:66:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M22","M22-DARK-L","Dark bottom — setup left","player_0","M22-dark-bottom-left.svg","Four checkers cross to an empty point with double 6","XGID=-------------D----------b-:0:0:1:66:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M23","M23-LIGHT-R","Light bottom — setup right","near_player","M23-light-bottom.svg","Two same-side sources land on one stack","XGID=--------CA-A------------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M23","M23-DARK-R","Dark bottom — setup right","player_0","M23-dark-bottom.svg","Two same-side sources land on one stack","XGID=--------CA-A------------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; unmirrored; setup right"
"M23","M23-LIGHT-L","Light bottom — setup left","near_player","M23-light-bottom-left.svg","Two same-side sources land on one stack","XGID=--------CA-A------------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M23","M23-DARK-L","Dark bottom — setup left","player_0","M23-dark-bottom-left.svg","Two same-side sources land on one stack","XGID=--------CA-A------------b-:0:0:1:31:0:0:0:0:10",2,0,"","player_1 near; horizontally mirrored; setup left"
"M24","M24-LIGHT-R","Light bottom — setup right","near_player","M24-light-bottom.svg","Foey bears four different points off with double 4","XGID=-D-------------------aaaa-:0:0:-1:44:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M24","M24-DARK-R","Dark bottom — setup right","player_0","M24-dark-bottom.svg","Foey bears four different points off with double 4","XGID=-D-------------------aaaa-:0:0:-1:44:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M24","M24-LIGHT-L","Light bottom — setup left","near_player","M24-light-bottom-left.svg","Foey bears four different points off with double 4","XGID=-D-------------------aaaa-:0:0:-1:44:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M24","M24-DARK-L","Dark bottom — setup left","player_0","M24-dark-bottom-left.svg","Foey bears four different points off with double 4","XGID=-D-------------------aaaa-:0:0:-1:44:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M25","M25-LIGHT-R","Light bottom — setup right","near_player","M25-light-bottom.svg","Two independent double-2 stacks on opposite rows","XGID=---------B-B------B-----b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M25","M25-DARK-R","Dark bottom — setup right","player_0","M25-dark-bottom.svg","Two independent double-2 stacks on opposite rows","XGID=---------B-B------B-----b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M25","M25-LIGHT-L","Light bottom — setup left","near_player","M25-light-bottom-left.svg","Two independent double-2 stacks on opposite rows","XGID=---------B-B------B-----b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M25","M25-DARK-L","Dark bottom — setup left","player_0","M25-dark-bottom-left.svg","Two independent double-2 stacks on opposite rows","XGID=---------B-B------B-----b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M26","M26-LIGHT-R","Light bottom — setup right","near_player","M26-light-bottom.svg","Two crowded home-row stacks move with double 2","XGID=----B-C--B-C------------b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M26","M26-DARK-R","Dark bottom — setup right","player_0","M26-dark-bottom.svg","Two crowded home-row stacks move with double 2","XGID=----B-C--B-C------------b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M26","M26-LIGHT-L","Light bottom — setup left","near_player","M26-light-bottom-left.svg","Two crowded home-row stacks move with double 2","XGID=----B-C--B-C------------b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M26","M26-DARK-L","Dark bottom — setup left","player_0","M26-dark-bottom-left.svg","Two crowded home-row stacks move with double 2","XGID=----B-C--B-C------------b-:0:0:1:22:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M27","M27-LIGHT-R","Light bottom — setup right","near_player","M27-light-bottom.svg","Foey verifies the same-row double-2 rule","XGID=-B-----b------b-b---------:0:0:-1:22:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M27","M27-DARK-R","Dark bottom — setup right","player_0","M27-dark-bottom.svg","Foey verifies the same-row double-2 rule","XGID=-B-----b------b-b---------:0:0:-1:22:0:0:0:0:10",4,0,"","player_1 near; unmirrored; setup right"
"M27","M27-LIGHT-L","Light bottom — setup left","near_player","M27-light-bottom-left.svg","Foey verifies the same-row double-2 rule","XGID=-B-----b------b-b---------:0:0:-1:22:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M27","M27-DARK-L","Dark bottom — setup left","player_0","M27-dark-bottom-left.svg","Foey verifies the same-row double-2 rule","XGID=-B-----b------b-b---------:0:0:-1:22:0:0:0:0:10",4,0,"","player_1 near; horizontally mirrored; setup left"
"M28","M28-LIGHT-R","Light bottom — setup right","near_player","M28-light-bottom.svg","Two chained checkers share the bottom movement line","XGID=---------AA-------------b-:0:0:1:33:0:0:0:0:10",4,0,"2,3,4","player_1 near; unmirrored; setup right"
"M28","M28-DARK-R","Dark bottom — setup right","player_0","M28-dark-bottom.svg","Two chained checkers share the bottom movement line","XGID=---------AA-------------b-:0:0:1:33:0:0:0:0:10",4,0,"2,3,4","player_1 near; unmirrored; setup right"
"M28","M28-LIGHT-L","Light bottom — setup left","near_player","M28-light-bottom-left.svg","Two chained checkers share the bottom movement line","XGID=---------AA-------------b-:0:0:1:33:0:0:0:0:10",4,0,"2,3,4","player_1 near; horizontally mirrored; setup left"
"M28","M28-DARK-L","Dark bottom — setup left","player_0","M28-dark-bottom-left.svg","Two chained checkers share the bottom movement line","XGID=---------AA-------------b-:0:0:1:33:0:0:0:0:10",4,0,"2,3,4","player_1 near; horizontally mirrored; setup left"
"M29","M29-LIGHT-R","Light bottom — setup right","near_player","M29-light-bottom.svg","Two different top moves share most of one line","XGID=-----------------AA-----b-:0:0:1:33:0:0:0:0:10",2,0,"2","player_1 near; unmirrored; setup right"
"M29","M29-DARK-R","Dark bottom — setup right","player_0","M29-dark-bottom.svg","Two different top moves share most of one line","XGID=-----------------AA-----b-:0:0:1:33:0:0:0:0:10",2,0,"2","player_1 near; unmirrored; setup right"
"M29","M29-LIGHT-L","Light bottom — setup left","near_player","M29-light-bottom-left.svg","Two different top moves share most of one line","XGID=-----------------AA-----b-:0:0:1:33:0:0:0:0:10",2,0,"2","player_1 near; horizontally mirrored; setup left"
"M29","M29-DARK-L","Dark bottom — setup left","player_0","M29-dark-bottom-left.svg","Two different top moves share most of one line","XGID=-----------------AA-----b-:0:0:1:33:0:0:0:0:10",2,0,"2","player_1 near; horizontally mirrored; setup left"
"M30","M30-LIGHT-R","Light bottom — setup right","near_player","M30-light-bottom.svg","Top-half same-line overlap","XGID=------------------A-A---b-:0:0:1:44:0:0:0:0:10",2,0,"2","player_1 near; unmirrored; setup right"
"M30","M30-DARK-R","Dark bottom — setup right","player_0","M30-dark-bottom.svg","Top-half same-line overlap","XGID=------------------A-A---b-:0:0:1:44:0:0:0:0:10",2,0,"2","player_1 near; unmirrored; setup right"
"M30","M30-LIGHT-L","Light bottom — setup left","near_player","M30-light-bottom-left.svg","Top-half same-line overlap","XGID=------------------A-A---b-:0:0:1:44:0:0:0:0:10",2,0,"2","player_1 near; horizontally mirrored; setup left"
"M30","M30-DARK-L","Dark bottom — setup left","player_0","M30-dark-bottom-left.svg","Top-half same-line overlap","XGID=------------------A-A---b-:0:0:1:44:0:0:0:0:10",2,0,"2","player_1 near; horizontally mirrored; setup left"
"M31","M31-LIGHT-R","Light bottom — setup right","near_player","M31-light-bottom.svg","Bottom-half same-line overlap","XGID=----------AA------------b-:0:0:1:33:0:0:0:0:10",2,0,"2","player_1 near; unmirrored; setup right"
"M31","M31-DARK-R","Dark bottom — setup right","player_0","M31-dark-bottom.svg","Bottom-half same-line overlap","XGID=----------AA------------b-:0:0:1:33:0:0:0:0:10",2,0,"2","player_1 near; unmirrored; setup right"
